source,target,weight,label
Armin van Buuren,Bonnie McKee,1,collaboration
Armin van Buuren,Brennan Heart,2,collaboration
Armin van Buuren,Chris Jones,1,collaboration
Armin van Buuren,Christian Burns,1,collaboration
Armin van Buuren,Cindy Alma,1,collaboration
Armin van Buuren,DJ Remy & Roland Klinkenberg,1,collaboration
Armin van Buuren,DJ Shah,1,collaboration
Armin van Buuren,Darkstar,1,collaboration
Armin van Buuren,Davina Michelle,1,collaboration
Armin van Buuren,Dimitri Vegas & Like Mike,1,collaboration
Armin van Buuren,DubVision,1,collaboration
Armin van Buuren,Duncan Laurence,2,collaboration
Armin van Buuren,Eric Vloeimans,1,collaboration
Armin van Buuren,Fatum,1,collaboration
Armin van Buuren,Ferry Corsten,1,collaboration
Armin van Buuren,Fiora,1,collaboration
Armin van Buuren,Gaia,2,collaboration
Armin van Buuren,Garibay,2,collaboration
Armin van Buuren,Gimmick,1,collaboration
Armin van Buuren,Herman Brood,1,collaboration
Armin van Buuren,Human Resource,1,collaboration
Armin van Buuren,Jacqueline Govaert,1,collaboration
Armin van Buuren,James Newman,3,collaboration
Armin van Buuren,Jan Vayne,2,collaboration
Armin van Buuren,Jean‐Michel Jarre,1,collaboration
Armin van Buuren,Jennifer Rene,1,collaboration
Armin van Buuren,Josh Cumbee,2,collaboration
Armin van Buuren,Justine Suissa,1,collaboration
Armin van Buuren,Kensington,1,collaboration
Armin van Buuren,Kush,1,collaboration
Armin van Buuren,Laura V,1,collaboration
Armin van Buuren,M.I.K.E.,1,collaboration
Armin van Buuren,MaRLo,1,collaboration
Armin van Buuren,Major League,1,collaboration
Armin van Buuren,Marco Borsato,1,collaboration
Armin van Buuren,Mark Sixma,1,collaboration
Armin van Buuren,Markus Schulz,1,collaboration
Armin van Buuren,Mila Josef,1,collaboration
Armin van Buuren,Mr. Probz,2,collaboration
Armin van Buuren,Nadia Ali,2,collaboration
Armin van Buuren,Olaf Blackwood,1,collaboration
Armin van Buuren,Perpetuous Dreamer,1,collaboration
Armin van Buuren,Racoon,1,collaboration
Armin van Buuren,Rank 1,2,collaboration
Armin van Buuren,Ray Wilson,1,collaboration
Armin van Buuren,Rising Star,3,collaboration
Armin van Buuren,Sam Gray,1,collaboration
Armin van Buuren,Sam Martin,1,collaboration
Armin van Buuren,Sharon den Adel,1,collaboration
Armin van Buuren,Sophie Ellis‐Bextor,1,collaboration
Armin van Buuren,Sunnery James & Ryan Marciano,1,collaboration
Armin van Buuren,Susana,1,collaboration
Armin van Buuren,System F,1,collaboration
Armin van Buuren,Timmy Trumpet,1,collaboration
Armin van Buuren,Tiësto,1,collaboration
Armin van Buuren,Tony Scott,1,collaboration
Armin van Buuren,Trevor Guthrie,1,collaboration
Armin van Buuren,VanVelzen,2,collaboration
Armin van Buuren,Vini Vici,1,collaboration
Armin van Buuren,W&W,5,collaboration
Armin van Buuren,YOU,1,collaboration
Armin van Buuren,Ørjan Nilsen,1,collaboration
David Guetta,A Boogie Wit da Hoodie,1,collaboration
David Guetta,Afro Bros,2,collaboration
David Guetta,Afrojack,10,collaboration
David Guetta,Akon,2,collaboration
David Guetta,Aloe Blacc,1,collaboration
David Guetta,Anne‐Marie,5,collaboration
David Guetta,Bebe Rexha,2,collaboration
David Guetta,Becky G,2,collaboration
David Guetta,Becky Hill,2,collaboration
David Guetta,Black Coffee,2,collaboration
David Guetta,Brooks,2,collaboration
David Guetta,Bruno Mars,1,collaboration
David Guetta,Bryson Tiller,1,collaboration
David Guetta,Cedric Gervais,2,collaboration
David Guetta,Charli XCX,4,collaboration
David Guetta,Cheat Codes,1,collaboration
David Guetta,Chris Brown,1,collaboration
David Guetta,Chris Willis,9,collaboration
David Guetta,Cozi,1,collaboration
David Guetta,Daddy Yankee,2,collaboration
David Guetta,David Bowie,1,collaboration
David Guetta,David Guetta,129,collaboration
David Guetta,Delilah Montagu,2,collaboration
David Guetta,Devito,1,collaboration
David Guetta,Dimitri Vegas & Like Mike,3,collaboration
David Guetta,Ella Henderson,1,collaboration
David Guetta,Emeli Sandé,1,collaboration
David Guetta,Estelle,1,collaboration
David Guetta,Ester Dean,2,collaboration
David Guetta,Faithless,1,collaboration
David Guetta,Fat Joe,1,collaboration
David Guetta,Felix da Housecat,1,collaboration
David Guetta,Fergie,1,collaboration
